Company,County Located,Bleacher Seating,Fitness Equipment,In-line Hockey Rinks/Skateboard Park Components (for existing rinks/parks only),"Modular Gym Flooring, Sports Mats",Playground Equipment,Playground Safety Surfacing Material,Portable or Replacement Scoreboards & Electronic Timers,Pre-fabricated Shelters,Site Amenities,Sports Equipment,Storage Sheds & Lockers,Water Equipment,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Heartline Fitness Products, Inc.",,No,Yes,No,No,No,No,No,No,No,No,No,No,Star Trac,7/29/16,48359,,,,,,
"Horizon Structures, LLC",,No,No,No,No,No,No,No,Yes,No,No,No,No,"Country Lane Woodworking; Stoltzfus Structures, LLC",3/30/16,48359,,,,,,
"Institutional Specialties, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,"Daktronics, Inc.",3/16/16,48359,,,,,,
Keystone Ridge Designs Inc.,Butler,No,No,No,No,No,No,No,No,Yes,No,No,No,"Keystone Ridge Designs, Inc.",2/8/16,48359,,,,,,
Knight Athletics Inc,Allegheny,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Haro Sports Flooring; Hufcor; Spalding; Track Seating,3/11/16,48359,,,,,,
"Kompan, Inc.",,No,No,No,No,Yes,No,No,No,No,No,No,No,"Kopan, Inc.",5/28/16,48359,,,,,,
KwikRink Synthetic Ice LLC,,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,KwikRink Synthetics LLC,11/13/15,48359,,,,,,
Life Fitness (a Division of Brunswick Corporation),,No,Yes,No,No,No,No,No,No,No,No,No,No,Life Fitness,3/11/16,48359,,,,,,
Mastercraft Sports Flooring Inc.,,No,No,No,Yes,No,No,No,No,No,No,No,No,Connor Sports Flooring,4/7/16,48359,,,,,,
Nevco Inc,,No,No,No,No,No,No,Yes,No,No,No,No,No,Nevco Scoreboard Company,3/11/16,48359,,,,,,
"Oldcastle Precast, Inc.",,No,No,No,No,No,No,No,Yes,No,No,Yes,No,"Oldcastle Precast, Inc.",6/25/16,48359,,,,,,
"PEMCo (P&E Educational Furniture and Equipment, Inc. DBA)",Allegheny,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,"Draper, Inc.; Southern Bleacher Company; UltraPlay, Inc. (a PlayCore Company)",5/16/16,48359,,,,,,
Pete Jeffrey & Associates,Allegheny,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,"Advanced Polymer Technologies (APT); AK Athletic Equipment, Inc.; Blue Valley Industries, Inc.; Cre8Play; Dynamo Industries; EZ-Dock; ICON Shelter Systems, Inc.; JayPro Sports Equipment; Playworld Systems, Inc.; RigidPly Rafters, Inc.; RTH Processing; Shade Systems, Inc.; Sparton Enterprises; SportsPlay; Vitriturf; Zeager Brothers",2/8/16,48359,,,,,,
Play and Park Structures (PS Commercial Play LLC DBA),,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,"BigToys, Inc.; GT Grandstands; National Recreation Systems, Inc.; Play & Park Structures; Surfacemax; Tot Turf; UltraSite (a PlayCore Company)",10/7/15,48359,,,,,,
Playground Concepts of Western Pennsylvania,Allegheny,No,No,No,No,No,No,No,No,Yes,No,No,No,"Urbanscape; Wabash Valley Manufacturing, Inc.",4/21/16,48359,,,,,,
"Playpower LT- Farmington, Inc.",,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Iron Mountain Forge; Little Tikes,4/21/16,48359,,,,,,
"Recreation Resource USA, LLC",,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Americana Building Products, Inc.; BCI Burke (Burke Playgrounds); Bison, Inc.; Blue Valley Industries, Inc.; Carron Net; Childforms; Classic Recreation Systems, Inc.; Cover Sports USA; Ecore International; EnWood Structures; Gared Sports; JayPro Sports Equipment; Kay Park Recreation; LTR Products; Outdoor Aluminum; Petersen Manufacturing; Pierceton Rubber Products; Premier Polysteel; Shade Systems, Inc.; SportsPlay; Surface America Inc.; Victor Stanley; Vitriturf; Xccent, Inc.; Zeager Brothers",4/21/16,48359,,,,,,
Riddell- All American,,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,All American Scoreboard; Athletic Connection; Riddell; Rogers,8/18/16,48359,,,,,,
"River Valley Recreation (River Valley Landscapes, Inc. dBA)",,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,"Play Safer; PlayCraft Systems; Pro-Techs Surfacing, LLC (Playground Surfaces); Rainbow Turf; Rubberecycle; UltraPlay, Inc. (a PlayCore Company); UltraSite (a PlayCore Company); Zeager Brothers",2/16/16,48359,,,,,,
Robinson Steel Company,,No,No,No,No,No,No,No,No,No,No,Yes,No,"Scranton Products (Washroom Partitions, Lockers, Vanities)",5/22/16,48359,,,,,,
Rogers Athletic Company,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Rogers; Troy Barbell,7/20/16,48359,,,,,,
Romtec Inc,,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Romtec Utilities,12/5/15,48359,,,,,,
"Rubbercycle, LLC dba Rubbercycle",,No,No,No,No,No,Yes,No,No,No,No,No,No,Rubberecycle,5/8/16,48359,,,,,,
S&S Inc,Allegheny,No,No,No,Yes,No,No,No,No,No,No,No,No,"Advanced Polymer Technologies (APT); Moose Sports Surfaces; PoloPlaz; Robbins, Inc.; Sika Corporation",12/22/15,48359,,,,,,
"Snider & Associates, Inc.",,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Americana Building Products, Inc.; BCI Burke (Burke Playgrounds); Bison, Inc.; Childforms; Classic Recreation Systems, Inc.; Custom Design Precast; Forever Lawn; Greenfields; Kay Park Recreation; Leisure Craft; National Recreation Systems, Inc.; Pierceton Rubber Products; Play & Park Structures; Rubberecycle; Shade Systems, Inc.; Sofsurfaces, Inc.; SportsPlay; UltraPlay, Inc. (a PlayCore Company); Unique Surfacing; Webcoat, Inc.; Witt Industries; Xccent, Inc.; Zeager Brothers",6/23/16,48359,,,,,,
"SofSURFACES, Inc",,No,No,No,No,No,Yes,No,No,No,No,No,No,"Sofsurfaces, Inc.",4/21/16,48359,,,,,,
Sports and Recreation Associates,Armstrong,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Aquatic Recreation Co.; Avalanche; Coverworx; Dugout USA; Kay Park Recreation; Litchfield Landscape Elements (Litchfield Industries); Miracle Recreation Equipment Co.; SportsPlay,3/15/16,48359,,,,,,
Sports Floors Inc.,Beaver,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,"Action Floor Systems; Bona Kemi; Junckers Industrier A/S; Mancino Manufacturing Co.; NASF/Traction; PoloPlaz; Sheridan Seating, Inc.",10/21/15,48359,,,,,,
"The Fibar Group, LLC",,No,No,No,No,No,Yes,No,No,No,No,No,No,"Fibar Group, LLC",3/15/16,48359,,,,,,
The Fitness Headquarters,,No,Yes,No,No,No,No,No,No,No,No,No,No,"Landice, Inc.; Legend Fitness; PARAMOUNT FITNESS SYSTEMS; Vision Fitness",4/21/16,48359,,,,,,
Third Dimension Specialties LLC,,No,No,No,No,No,No,No,No,No,No,Yes,No,"Scranton Products (Washroom Partitions, Lockers, Vanities)",5/24/16,48359,,,,,,
"Visual Information Systems, Inc./VIS Signs",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,"Hyoco; OES Scoreboard, Inc.",3/16/16,48359,,,,,,
"Wausau Tile, Inc.",,No,No,No,No,No,No,No,No,Yes,No,No,No,Wausau Tile,7/30/15,48359,,,,,,
"Webster's Fitness Products, Inc.",Washington,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Magnum Fitness Systems; Matrix Fitness; Pinnacle Fitness Systems Inc.; Polar Electric; Sci Fit Systems Inc.; SportsArt America Inc.,2/3/16,48359,,,,,,
