Company,County Located,Athletic and Cheerleading Uniforms and Accessories,"Band, Guard and Majorette Uniforms and Warm Ups, Props and Accessories",Food Service Uniforms and Disposable Clothing,"Janitorial Uniforms, Footwear and Work Gloves",Laundering,"Public Works Uniforms, Personal Protection Gear, Footwear and Rainwear",Repair and Alteration,"Security Guard Uniforms, Footwear and Rainwear",Uniform Leasing,"Work Clothes, Footwear, and Work Gloves",Manufacturers,Expiration,Controller
"Bob Barker Company, Inc",,No,No,No,No,No,No,No,No,No,Yes,"Bob Barker Co., Inc.; Gildan; Hilltop (Workwear); O'Rite International; T&J Sales aka Hilltop Sportswear Brand; Triple T",11/20/15,51236
"Charm-Tex, Inc.",,No,No,No,No,No,No,No,No,No,Yes,Charm-Tex; Red Cap,9/16/15,51236
Concept Uniform Co,,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Bulwark; Cherokee Uniforms; Edwards Garment; Footwear Specialties; Hero's Pride; Horace Small; Red Kap; SanMar; VF Corporation (Vanity Fair),3/17/16,51236
Riddell-All American,,Yes,No,No,No,Yes,No,Yes,No,No,No,,5/26/16,51236
"Stanbury Uniforms, Inc.",,No,Yes,No,No,No,No,No,No,No,No,,6/8/16,51236
