Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Chevrolet 21, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,2/26/16,48557,,,,,,
"Cleveland Brothers Equipment Co., Inc.",Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,9/6/15,48557,,,,,,
"D'Ambrosio Dodge, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Chrysler,7/27/16,48557,,,,,,
"Daniel B. Krieg, Inc.",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Marathon Equipment Inc,12/3/15,48557,,,,,,
"Dave Hallman Chevrolet, Inc",,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Air-Flo Manufacturing; General Motors (Chevrolet-Buick-GMC-Cadillac); Isuzu Commercial Truck of America; The Reading Group-TRG (AKA Reading Truck Body); Unicell Van Bodies,2/14/16,48557,,,,,,
"Davies Ford, Inc.",,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,3/3/16,48557,,,,,,
"Day Chevrolet, Inc. ",Allegheny,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),6/28/15,48557,,,,,,
"Day Ford, Inc.",Allegheny,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,5/24/15,48557,,,,,,
"Dejana Truck & Utility Equipment Co., Inc. d/b/a Dejana Truck Equipment of Greater Philadelphia",,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"Air-Flo Manufacturing; Autocrane; BAF Technologies-CNG; BOSS Products (Snowplows-Div. of Northern Star Industries, Inc.); Brand FX Body Company; Buyers Products Company; Crysteel; DuraClass (TBEI); EMDElectroMotive Designs LLC; FASCAN International, Inc.; Felling Trailers; Fisher Engineering (Plows/Spreaders); FORCE America, Inc.; Highway Equipment Co.; Knapheide Manufacturing Company; Leggett & Platt ; Maxon Lift Corp.; Meyer Products; Monroe Truck Equipment; ROUSH CleanTech; Rugby Manufacturing Co. (TBEI); The American Road Machinery Company; Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); Utem; VMAC (Vehicle Mounted Air Compressors); Waltco Truck Equipment Co.; Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
"Dueco, Inc",,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,DUECO; Ford Motor Company; International Truck and Engine Corporation; Terex,8/12/15,48557,,,,,,
"E.M. Kutz, Inc.",,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"Aero Industries; American Roll-Off (Palfinger); Anthony Liftgates, Inc.; Bosch Rexroth; Buyers Products Company; Cirus Controls; DewEze Hydraulics; DuraClass (TBEI); EagleLift (Palfinger); Fisher Engineering (Plows/Spreaders); Galion-Godwin Truck Body Co., LLC; Gledhill Road Machinery Company; Henke Manufacturing; Maxxima; Meyer Products; Muncie Power Products; North American Signal; Omaha Standard (Palfinger); ONSPOT; Pioneer Coverall (Tarps); Rugby Manufacturing Co. (TBEI); Smith Metal Works (Spreaders/Dump Bodies); Swenson Spreader, LLC; Tamaqua Truck & Trailer Co., Inc.; Thieman Tailgates, Inc.; Timbren Industries, Inc.; Truck-Lite; Valk Manufacturing Company; Varitech Industries; Venco; Venturo Manufacturing; Western Products (Snow Plows/Removal Equip); Whelen Engineering Company, Inc.",4/21/16,48557,,,,,,
"Eagle Truck Equipment, Inc.",,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,"Bridgeport Truck Manufacturing, Inc.; Converto Mfg. Co.; Curry Supply; FASCAN International, Inc.; GSP Marketing, Inc./G-S Products; Scarab Manufacturing & Leasing; Scranton Mfg. Co., Inc.; Stellar Industries, Inc.; Thompson Fabricating; Valley Enterprise Container, Inc.; Wastequip",4/21/16,48557,,,,,,
East Penn Carrier & Wrecker Sales Inc.,,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Century (Towing Equip/Hydraulics); Challenger; Chevron, Inc.; Holmes; Vulcan",8/11/16,48557,,,,,,
"Eck's Garage, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner,7/30/16,48557,,,,,,
Elizabeth Truck Center,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Miller Industries,2/13/16,48557,,,,,,
Fairway Motors Inc,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),7/29/15,48557,,,,,,
"Faulkner Chevrolet, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick- GMC-Cadillac),5/26/16,48557,,,,,,
"Faulkner Pontiac Buick, Inc., dba Faulkner Pontiac Buick GMC, Inc",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),4/21/16,48557,,,,,,
"Five Star International, LLC",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Capacity Trucks; Isuzu Commercial Truck of America; Navistar Inc.,3/15/16,48557,,,,,,
