Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Levan Machine & Truck Equipment (Levan Machine Co, Inc. DBA)",,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"Acari Engineering Company, LLC; Air-Flo Manufacturing; BOSS Products (Snowplows-Div. of Northern Star Industries, Inc.); Buyers Products Company; Chelsea Products (PTOHydraulics); Eaton; EZ Dumper; FORCE America, Inc.; Henke Manufacturing; Ingersoll Rand; Knapheide Manufacturing Company; M.H. Eby, Inc.; Morgan Corporation (Truck Bodies); ONSPOT; Parker Hannifin Corporation; Redneck Trailer Supplies; Smith Metal Works (Spreaders/Dump Bodies); Stellar Industries, Inc.; Thieman Tailgates, Inc.; Timbren Industries, Inc.; Tommy Gate (Woodbine Mfg. Co.); TruckCraft; US Tarp; Vanair Manufacturing, Inc.; Varitech Industries; Waltco Truck Equipment Co.; WEATHER GUARD (Werner Co.); Western Products (Snow Plows/Removal Equip); Whelen Engineering Company, Inc.",4/21/16,48557,,,,,,
"Manderbach Ford (George D. Manderbach, Inc., dba)",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Mar-Eco dba Keystone Ford,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,6/28/16,48557,,,,,,
"Maxwell Truck & Equipment, LLC",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Air-Flo Manufacturing; Blizzard; Boss Industries (Compressors); Stahl (Truck Bodies); Tafco,11/19/15,48557,,,,,,
McCafferty Ford of Mechanicsburg,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,11/19/15,48557,,,,,,
McNeilus Financial Inc,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,McNeilus Financial,10/4/15,48557,,,,,,
"Merkin Equipment Service, Inc.",,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,"Galion-Godwin Truck Body Co., LLC; Labrie Environmental Group; Loadmaster, Inc.; Nu-Life Engineering, Inc.; Ox Bodies; The American Road Machinery Company; Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
"Mid Atlantic Municipal,LLC dba Lancaster Truck Bodies",,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"Autocrane; CADCo; Galion-Godwin Truck Body Co., LLC; GVM Snow Equipment; Mobile Lifts; Smith Metal Works (Spreaders/Dump Bodies); Stahl (Truck Bodies); Supreme Mid-Atlantic Corp (Truck Bodies); SwapLoader USA; Thieman Tailgates, Inc.; Viking Cives; Waltco Truck Equipment Co.; Warner Bodies; Western Products (Snow Plows/Removal Equip)",4/30/16,48557,,,,,,
MJR Equipment Inc.,,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"Aluminum Tank Industries, Inc.; Certified Power, Inc.; Cirus Controls; FORCE America, Inc.; Henderson Manufacturing; Insta-Chain; MJR Equipment; Monroe Truck Equipment; PolyBilt Bodies by Pro Poly of America, Inc.; Valk Manufacturing Company; Wausau- Everest L.P.",2/11/16,48557,,,,,,
Mobile Lifts Inc,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Brand FX Body Company; Dur-A-Lift,4/5/16,48557,,,,,,
"Morelli Hoskins Ford, Inc. d/b/a Brian Hoskins Ford",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/27/16,48557,,,,,,
Morocco Welding LLC,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Morocco Welding,3/19/16,48557,,,,,,
Motor Truck Equipment Co. DBA Kenworth of Pennsylvania,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Kenworth,5/25/16,48557,,,,,,
"Motorworld Automotive Group, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,"Chrysler; Mercedes-Benz USA, LLC",5/7/16,48557,,,,,,
Murray's Ford Inc,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Ford Motor Company; Freightliner; Western Star Trucks,4/27/16,48557,,,,,,
Nicholas Wyoming Valley Truck Sales,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hino Trucks,4/22/16,48557,,,,,,
"PA Public Works Equip. Co., LLP",Allegheny,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Airport Technologies; American Roll-Off (Palfinger); Buyers Products Company; Coastal Technical Sales, Inc.; Conley Fabrication LLP; Elgin Sweeper Company; Envirosight; Epoke; Harben, Inc.; John Bean Sprayers; KEG Technologies, Inc.; Loadmaster, Inc. ; Loughberry Mfg. Corp.-TARCO; M-B Companies; Monroe Truck Equipment; Prototek; Vactor",6/23/15,48557,,,,,,
"Pacifico Ford, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,3/3/16,48557,,,,,,
"PDF, Inc., dba Berman Freightliner",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner,4/21/16,48557,,,,,,
"Penske Buick GMC Trucks, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),3/15/16,48557,,,,,,
Piechota Group Inc.,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Pro-Tech Corporation; Snow-Ex; Western Products (Snow Plows/Removal Equip),10/8/15,48557,,,,,,
"Powell's Sales and Service, Inc.",,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,"Bibeau; Buck's Manufacturing; Buyers Products Company; Cross Country Manufacturing, Inc.; Cyclone Air Power; DewEze Hydraulics; FORCE America, Inc.; Galion-Godwin Truck Body Co., LLC; Henderson Manufacturing; JJAG Wing Snowplows; Liftmoore, Inc.; Magnum Manufacturing, Inc.; Meyer Products; Muncie Power Products; Powell's Sales and Service, Inc.; Quality Trailers; Ranger Design/Van Shelving; Rugby Manufacturing Co. (TBEI); T.L. Wood's Aluminum Truck Accessories; Tafco; Techno Cranes; Tenco; The Reading Group-TRG (AKA Reading Truck Body); Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); Western Products (Snow Plows/Removal Equip)",6/1/16,48557,,,,,,
"Push-N-Pull, Inc.",Allegheny,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,"Anthony Liftgates, Inc.; Brute Tool Boxes; Buyers Products Company; Bwise Manufacturing; Fisher Engineering (Plows/Spreaders); Harper Industries, Inc. (DewEze Hydraulics); Industrial Metal Products, Inc.; Mustang Trailers; RC Trailers; SwitchN-Go Bodies; TrynEx International; Western Products (Snow Plows/Removal Equip)",3/19/16,48557,,,,,,
"Reading Equipment & Distribution, LLC",,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"ArmLift (Div. of TG Industries, Inc.); Autocrane; Bonnell Industries, Inc.; Buyers Products Company; Crysteel; Fisher Engineering (Plows/Spreaders); Hydro Air; IMT-Iowa Mold Tooling Co., Inc.; Liftmoore, Inc.; Meyer Products; Muncie Power Products; National Crane; Parker Hannifin Corporation; Smith Metal Works (Spreaders/Dump Bodies); The Reading Group-TRG (AKA Reading Truck Body); Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); TruckCraft; Vanair Manufacturing, Inc.; VMWare; Waltco Truck Equipment Co.; Western Products (Snow Plows/Removal Equip)",4/22/16,48557,,,,,,
"River's Truck Center, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Western Star Trucks,4/21/16,48557,,,,,,
"Sabre Equipment, Inc.",Allegheny,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,"Adrian Steel; Air-Flo Manufacturing; Anthony Liftgates, Inc.; Astoria (Altec Astoria, LLC); Bonnell Industries, Inc.; Cormach Cranes; Crysteel; Keystone Spring Service; Leyman Lift Gates; Liftmoore, Inc.; Maxon Lift Corp.; Meyer Products; Monroe Truck Equipment; PSD-Point Spring & Driveshaft Co.; Ranger Design/Van Shelving; Service Trucks International; Supreme MidAtlantic Corp (Truck Bodies); The American Road Machinery Company; The Reading GroupTRG (AKA Reading Truck Body); Thieman Tailgates, Inc.; Tiger Cranes; Tommy Gate (Woodbine Mfg. Co.); TruckCraft; Utem; Vanair Manufacturing, Inc.; Waltco Truck Equipment Co.; Warren; Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
"Salandro Equipment Sales, Inc.",Westmoreland,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"Scranton Mfg. Co., Inc.",7/28/15,48557,,,,,,
"Seigworth Road Supply, Inc.",,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,"Fisher Engineering (Plows/Spreaders); Gledhill Road Machinery Company; Henderson Manufacturing; Seigworth Road Supply, Inc.",8/21/15,48557,,,,,,
"Sherwood Chevrolet, Inc.",,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),8/15/16,48557,,,,,,
"Sherwood Freightliner, Sterling & Western Star, Inc",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner; Sterling Cab Chassis; Western Star Trucks,7/30/16,48557,,,,,,
Shults Ford Lincoln Inc.,Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Smail Compnay Inc.,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company; General Motors (ChevroletBuick-GMC-Cadillac),3/27/16,48557,,,,,,
"Solt Chevrolet Oldsmobile Inc, dba Brown Daub Chevrolet of Nazareth",,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),8/11/15,48557,,,,,,
Springfield Ford Inc.,,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,12/30/15,48557,,,,,,
Star Buick GMC Cadillac LLC,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Blizzard; General Motors (Chevrolet-Buick-GMC-Cadillac); Snow-Ex,1/10/16,48557,,,,,,
Steel City Mower and Plow,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Air-Flo Manufacturing; Boss Industries (Compressors); Buyers Products Company,9/24/15,48557,,,,,,
Stoltz of St. Marys Inc. dba Stoltz Ford of St. Marys,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,2/8/16,48557,,,,,,
"Storks Auto, Inc",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Blizzard; Western Products (Snow Plows/Removal Equip),1/17/16,48557,,,,,,
"Structural Metal Fabricators, Inc.",,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,"Air-Flo Manufacturing; Alum-line, Inc.; Anthony Liftgates, Inc.; Aristocrat; ArmLift (Div. of TG Industries, Inc.); Bonnell Industries, Inc.; BOSS Products (Snowplows-Div. of Northern Star Industries, Inc.); Cobra Cranes; Component Technology; Dakota; DEL Hydraulics; EagleLift (Palfinger); Fisher Engineering (Plows/Spreaders); Getec (Hydraulics/Generators); GVM Snow Equipment; IMTIowa Mold Tooling Co., Inc.; Knapheide Manufacturing Company; Liftmoore, Inc.; Maxilift; Maxon Lift Corp.; Monroe Truck Equipment; North Coast Truck Body; Onan (Generators-Brand of Cummins Power); Palfinger; Powertech; Root; Rugby Manufacturing Co. (TBEI); Structural Metal Fabricators, Inc.; Tadano; The Reading Group-TRG (AKA Reading Truck Body); Thieman Tailgates, Inc.; Tommy Gate (Woodbine Mfg. Co.); Utem; Vanair Manufacturing, Inc.; Waltco Truck Equipment Co.; Warren",4/21/16,48557,,,,,,
"Stuckey Ford, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,2/17/16,48557,,,,,,
Sunbury Motor Company,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company; Western Products (Snow Plows/Removal Equip),4/21/16,48557,,,,,,
Suppes Motor Sales Co.,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Supreme Mid-Atlantic Corp,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Supreme Mid-Atlantic Corp (Truck Bodies),6/24/16,48557,,,,,,
"Susquehanna Dodge, Inc. dba Susquehanna Chrysler Dodge Jeep Ram",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Chrysler,4/21/16,48557,,,,,,
"Susquehanna Motor Co., Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Mack Trucks,6/1/16,48557,,,,,,
"Swab Wagon Company, Inc.",,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Swab Wagon Co., Inc.",8/23/16,48557,,,,,,
"T.P. Trailers, Inc. (Perkins/T.P. Trailers, Inc. DBA)",,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,"Aluma; Anderson Manufacturing, Inc. (Trailers); Belmont Trailers; Blizzard; Boss Industries (Compressors); Bri-Mar Manufacturing, LLC; Bulldog (Trailers-Accessories); Buyers Products Company; Car Mate Trailers, Inc.; Draw- Tite; Fisher Engineering (Plows/Spreaders); FORCE America, Inc.; Fulton (Trailers); Haulmark Trailers; Hidden Hitch; Look Manufacturing; Meyer Products; Pace American; Premier Trailers; ProTech Industries (Truck/Trailer); Reese (Trailers); Rola; Swampy Hollow Manufacturing; Switch-N-Go Bodies; Tekonsha; TruckCraft; US Tarp; Varitech Industries; Waltco Truck Equipment Co.",6/18/16,48557,,,,,,
"THC Enterprises, Inc. T/A Mid-Atlantic Waste Systems",,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,"AmpliRoll; Dulevo International; Galbreath; Heil Process Equipment; J&J Truck Bodies & Trailers; KANN Manufacturing Corporation; Pac-Mac; Thieman Tailgates, Inc.",11/12/15,48557,,,,,,
The American Road Machinery Company,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Buyers Products Company; Ox Bodies; The American Road Machinery Company,8/14/15,48557,,,,,,
Total Equipment Solutions dba Frederick Auto Sales,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"GalFab; Labrie
Environmental Group",8/14/16,48557,,,,,,
"Transteck, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Freightliner,8/27/16,48557,,,,,,
"Tri Star Chrysler of Somerset, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Chrysler,4/10/16,48557,,,,,,
"Tri Star Ford of Somerset, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/10/16,48557,,,,,,
"Tri-County Motor Sales, Inc",,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,International Truck and Engine Corporation; J&J Truck Bodies & Trailers; Lee Roehrig Refuse Equipment; Walsh Equipment Inc.,4/21/16,48557,,,,,,
Tri-County Truck Center,,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Mack Trucks; Volvo Trucks,3/15/16,48557,,,,,,
Triad Truck Equipment,,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,"Air-Flo Manufacturing; Beau-Roc, Inc.; Bonnell Industries, Inc.; Eastern Lift Truck; Elliott Machine Works; Fisher Engineering (Plows/Spreaders); FORCE America, Inc.; Galion-Godwin Truck Body Co., LLC; Good Roads, Inc.; Henderson Manufacturing; Mac Trailer Mfg.; Muncie Power Products; Omaha Standard (Palfinger); R/SGodwin Truck Body Co., LLC; Schien Equipment, Inc.; Smith Metal Works (Spreaders/Dump Bodies); Swampy Hollow Manufacturing; SwapLoader USA; Tamaqua Truck & Trailer Co., Inc.; Tenco; Thieman Tailgates, Inc.; Thompson Fabricating; Valk Manufacturing Company; Varitech Industries; Waltco Truck Equipment Co.; Warren",4/21/16,48557,,,,,,
"Triple Cities Acquisition LLC., dba Triple Cities Mack Sales & Service",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hino Trucks; Mack Trucks,4/21/16,48557,,,,,,
"Trius, Inc.",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"KM International, Inc.",4/20/16,48557,,,,,,
Truck Mounts Unlimited,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,"Bucks Fabricating Open Top Rolloff Containers; Buyers Products Company; Certified Power, Inc.; Donovan Enterprises; FORCE America, Inc.; GalFab; Henderson Manufacturing; Pioneer Coverall (Tarps); Stellar Industries, Inc.; Thompson Fabricating",4/21/16,48557,,,,,,
"Trux, Inc.",,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,"Air-Flo Manufacturing; Beau-Roc, Inc.; D&W Diesel Inc.; Parker Hannifin Corporation; Thieman Tailgates, Inc.; Warren",4/9/16,48557,,,,,,
U S MUNICIPAL SUPPLY INC,,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,"Air-Flo Manufacturing; AmpliRoll; Bucks Fabricating Open Top Rolloff Containers; Buyers Products Company; Certified Power, Inc.; Cues, Inc.; DEL Hydraulics; DewEze Hydraulics; Falls Plows-Little Falls Machine, Inc.; Fisher Engineering (Plows/Spreaders); Flink; FORCE America, Inc.; Galion-Godwin Truck Body Co., LLC; Global Sweeping Solutions, Inc.; H.T.C., Inc. (Hydraulic Truck Conveyor); Insta-Chain; J&J Truck Bodies & Trailers; Johnston North America-Johnston Sweepers, Ltd.; Marathon Trailers by Westbrook; ODB Company, Inc.; Pipehunter; Rexroth; Sprayer Specialties; Stahl (Truck Bodies); Swampy Hollow Manufacturing; SwapLoader USA; Sweepster; Traffix Devices; US Tarp; VacCon; Valk Manufacturing Company; Varitech Industries; Warner Bodies; Wausau-Everest L.P.; Western Products (Snow Plows/Removal Equip); Xtreme Vac",4/21/16,48557,,,,,,
"Valley Fab & Equipment, Inc",,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"American Sno-Plows; Brandon Truck Equipment, Inc.; Buyers Products Company; FORCE America, Inc.; Loughberry Mfg. Corp.-TARCO; R/S-Godwin Truck Body Co., LLC; Varitech Industries; Wausau-Everest L.P.",4/1/16,48557,,,,,,
Vehicle Services Group LLC dba Rotary Lift,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Vehicle Services Group LLC,1/17/16,48557,,,,,,
"Versa Lift East, LLC",,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Time Manufacturing- Versalift,12/29/15,48557,,,,,,
Viper Lift LLC,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,"AMCV, Inc. for Viper Lift, LLC",11/14/15,48557,,,,,,
Walsh Equipment Inc.,Butler,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,"Chelsea Products (PTO-Hydraulics); Commercial Intertech; Dinkmar Mfg.; Elkin Hi-Tech, Inc.; Gledhill Road Machinery Company; GVM Snow Equipment; H.T.C., Inc. (Hydraulic Truck Conveyor); Highway Equipment Co.; HUG Manufacturing; IMSupplies (Industrial Motor Supply, Inc.); J&J Truck Bodies & Trailers; Meiter Specialty; Muncie Power Products; Orion Equipment Innovations (Trailers); Parker and Eaton Hydraulic Pumps (Complete Line); Ray-Tech Infrared; Schwarze Industries Inc.; Somerset Welding & Steel Co Inc.; Super City Manufacturing Co.; Sweepster; Trux, Inc.; Viking Cives; Walsh Equipment Inc.; Wausau-Everest L.P.; Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
"Watson Diesel, Inc.",,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,"Air-Flo Manufacturing; Buyers Products Company; Crysteel; FORCE America, Inc.; Henke Manufacturing; Loughberry Mfg. Corp.-TARCO; Pik Rite Manufacturing; Smith Metal Works (Spreaders/Dump Bodies)",4/18/16,48557,,,,,,
"Watt's Truck Center, Inc.",Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Mack Trucks,4/21/16,48557,,,,,,
"Westgate Chevrolet, Inc., dba Apple Chevrolet",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),3/15/16,48557,,,,,,
"Whitmoyer Buick-Chevrolet, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,General Motors (Chevrolet-Buick-GMC-Cadillac),10/1/15,48557,,,,,,
"Whitmoyer Ford, Inc.",,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,9/28/15,48557,,,,,,
"Williams Auto Plaza VI, Inc. DBA Williams Ford Lincoln",,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,12/30/15,48557,,,,,,
Wolf Motor Company dba Chapman Ford of Lancaster,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,3/2/16,48557,,,,,,
"Woltz & Wind Ford, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
"Zacherl Motor Truck Sales, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Navistar Inc.,9/23/15,48557,,,,,,
"Zook Motors, Inc.",,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Blizzard; Ford Motor Company,4/21/16,48557,,,,,,
Zoresco Equipment Company,Allegheny,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"Anthony Liftgates, Inc.; ArmLift (Div. of TG Industries, Inc.); Big Tex Trailers; Buyers Products Company; Chelsea Products (PTOHydraulics); Dakota; Fisher Engineering (Plows/Spreaders); Fleetwest Slip-On Truck Bodies; JOMAC, Ltd.; Keystone Spring Service; Knapheide Manufacturing Company; M.H. Eby, Inc.; Masterack; Meyer Products; PSD-Point Spring & Driveshaft Co.; Rugby Manufacturing Co. (TBEI); Thieman Tailgates, Inc.; TruckCraft; U.S. Truck Body; Vanair Manufacturing, Inc.; Venturo; VMAC (Vehicle Mounted Air Compressors); Waltco Truck Equipment Co.; WEATHER GUARD (Werner Co.); Wells Cargo; Western Products (Snow Plows/Removal Equip)",10/21/15,48557,,,,,,
