Company,County Located,Electric Supplies,Flooring,General Hardware,Hand & Power Tools,HVAC,HVAC Filters,Industrial Plumbing,Lamps & Ballasts,LED Lighting,Material Handling,Metalworking,Motors & Power Transmission,Outdoor Tools,Paint,Pneumatics,Pumps & Plumbing,Safety,Security,Test Equipment,Manufacturing,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Dobil Laboratories, Inc.",Allegheny,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,"Aiphone Corporation; Audio Technica; Biamp Systems; Bosch Security Systems; Chief Manufacturing; Cornell Communications; Crestron; Crown Audio, Inc. (Crown International); DSX Access Systems; Eiki; Electro-Voice (EV); Epson; Extron Electronics; FSR, Inc.; Gamewell-FCI; Hall Research Technologies; IDView; JBL by Harman; LOWELL Manufacturing Co. (AV); Mitsubishi Electric Visual & Imaging Systems; NEC; Panasonic; Polycom; Raxxess; Samsung; Tandberg, Inc.; Telecor; Trans Tech Systems;Vaddio;
Zenith",8/18/15,48351,,,,,,
Donohoe Corporation dba Kensington,Westmoreland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Kensington Electric,3/28/16,48351,,,,,,
"Filtech, Inc.",Allegheny,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Camfil Farr; Purolator (Filters),3/12/16,48351,,,,,,
"George M Brobeck Co., Inc.",Beaver,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Aiphone Corporation; DSC Security; Fire-Lite Alarms; Honeywell; Kantech; Linear/Commercial Access Solutions (formerly IEI); Nuvico; Paxton; SecuraKey; Speco Technologies; Video Insight,1/12/16,48351,,,,,,
"Global Access Control Systems, Inc.",Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Aiphone Corporation; Axis Communications; IDView; IQinVision; ISONAS; Linear/Commercial Access Solutions (formerly IEI); Milestone Systems; Veracity,3/8/16,48351,,,,,,
Houston-Starr Company,Allegheny,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,"Adams Rite; Arrow Lock; BEST Access Systems by Stanley Security Solutions, Inc.; Corbin Russwin; Design Hardware; Don-Jo Manufacturing; DORMA; Emtek; Hager; HES; Lund Equipment Co. Inc.; PDQ Locks; Pemko; Precision Hardware (Exit Devices); Rockwood Manufacturing Company; Sargent; Securitron; Stanley Security Solutions, Inc.",4/12/15,48351,,,,,,
"Huckestein Mechanical Services, Inc.",Allegheny,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,"3M; AAON; ABB; Aprilaire; Armstrong Pumps, Inc. (aka Armstrong Fluid Technology); Barber Colman; Bemis Manufacturing Company; Bio Strike; BlueAir; Buildright; Bussmann by Eaton (Cooper); Carrier (HVAC); CurtisToledo (Compressors); Cutler-Hammer by Eaton; Data Aire; Electrolux; Essick Air; FARR; Fluitek; Greenheck; Haskris Chillers; Honeywell; IQAir; Johnson Controls; Lennox International; Liebert; Lochinvar; Mammoth; Pall; Parker/Dominick Hunter; Robertshaw; RPS; Sears/Kenmore; Seasons 4; Siemens Corporation; Skuttle; Square D-Schneider Electric; Tico; Trane; Trenton Refrigeration; Trion; Universal; Webb Products; WeilMcLain; Whirlpool; Yaskawa America, Inc.; York",8/16/15,48351,,,,,,
"HVAC Distributors, Inc.",Allegheny,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Goodman Manufacturing Company; Olsen & Kunkirk (ECR International),5/8/15,48351,,,,,,
"IDN Hardware Sales, Inc.",Allegheny,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,IDN-HS; Stanley Commercial Hardware,3/11/16,48351,,,,,,
Irwin Builders Supply,Westmoreland,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,DeWalt; Milwaukee Electric Tool Corporation; Orgill (Distributor),4/12/15,48351,,,,,,
Johnstone Supply-Pittsburgh (AM Parts Inc),Beaver,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,"A.O. Smith; Appion; Aprilaire; Armstrong; B&G (Bell & Gossett); Bacharach; Basco; Browning; Century Industries; ComfortAire; DeWalt; DiversiTech; Dwyer Instruments, Inc.; Eliwell; Emerson; Fascco; Fieldpiece Instruments, Inc.; Flanders; Fluke (Test Equipment); Freidrich; Fujitsu; GE (General Electric); GLASSFLOSS Industries; Goodman Manufacturing Company; Grundfos; Honeywell; Imperial; Invensys; JB Industries, Inc.; Johnson Controls; Klein Tools, Inc.; Knipex Tools; Lenox; LG Electronics, Inc.; Little Giant Pump Co.; Lucas Milhaupt; Modine; Mueller Industries, Inc. (Plumbing-HVAC); Nu-Calgon; Paragon; Parker Products; Ranco; Refrigeration Technologies; Regal; Ritchie Yellow Jacket; Robertshaw; Robinair; Rubbermaid; Sealed Unit Parts Co.; SHURTAPE; Southwark Metal Mfg. Co.; Stride, Inc.; Taco; TESTO; U.S. MOTORS, a brand of Nidec Motor Corp.; UEI; Watts; WhiteRodgers",2/5/16,48351,,,,,,
"Jordon's Paint & Glass, Inc. ",Armstrong,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,4/27/15,48351,,,,,,
Knickerbocker Russell Co.,Allegheny,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Bandit Industries,11/4/15,48351,,,,,,
"Montour Industrial Supply, Inc. (Montour Group DBA)",Allegheny,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,"A.Y. McDonald Mfg. Co.; American Valve; Anvil International; Apollo Valves (CONBRACO Industries); Aqua Pure; Brass Craft; Cambridge Lee; Cello Products, Inc.; Central Brass; Chicago Faucets; Elkhart Products Corporation (Plumbing); Fernco; Jones Stephens; Laco; Matco-Norca; Merit Brass Co.; Mill-Rose; Milwaukee Valve Company; Murdock Manufacturing, Inc.; Oatey; RectorSeal; Sioux Chief; Sloan Valve Company; Spears Manufacturing Co.; Symmons Industries, Inc.; Trerice; Val-Fit; Victaulic; Watts; WOLVERINE; Zurn Industries, LLC (Zurn Wilkins)",2/10/16,48351,,,,,,
MSC Industrial Supply Co.,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Advance Ballast; Koch Filters; MSC Industrial Suppliers Product Line Card (Distributor); Philips Lighting Company; PrecisionAire (Flanders),2/16/16,48351,,,,,,
"MVS Security Services (McGaughey Video Services, Inc. DBA)",Armstrong,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"ACTi Corporation; Aiphone Corporation; Altronix; Arecont Vision; Arrow Fastener; ASSA Abloy; Axis Communications; BEA, Inc.; Bosch Security Systems; Channel Vision Technology; Dedicated Micros; DoorKing; Duracell; ELK Products; EverFocus; Fire-Lite Alarms; Ganz by CBC AMERICA Corp.; GE Security; Honeywell; JVC Americas Corp.; Kantech; Linear/Commercial Access Solutions (formerly IEI); Napco Security Technologies; NuTone; OpenEye; Panasonic; Pelco; Rosslare; Samsung; Silent Knight by Honeywell; Toshiba; United Security; Videolarm; YUASA",7/18/15,48351,,,,,,
Pecora Flooring Inc.,Westmoreland,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Alloc (Flooring); ARDEX Americas; Armstrong Commercial Flooring; Beaulieu of America; Bigelow; Fritz Tile; Johnsonite; Shaw Industries,8/18/15,48351,,,,,,
"Pittsburgh Air Systems, Inc.",Allegheny,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Koch Filters,12/12/15,48351,,,,,,
"RAM Industrial Services, LLC",Allegheny,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,"ARO Pumps; Baldor; Cornell Pump Company; Cutler-Hammer by Eaton; Emerson; Flygt; Godwin Pumps of America, Inc.; Goulds Water Technology; Grundfos; LEESON; Lincoln Motors (LEESON); Maska; Netzsch; Reeves; Reliance Electric Motors; Toshiba; U.S. MOTORS, a brand of Nidec Motor Corp.; WEG",12/16/15,48351,,,,,,
Scott Electric Company,Westmoreland,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,4/21/16,48351,,,,,,
Security Systems of America dba SVB Associates Inc.,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"AES-IntelliNet (AES Corporation); Aiphone Corporation; Axis Communications; Brivo Systems, LLC; DMP-Digital Monitoring Products, Inc.; GE (General Electric); Interlogix; Mircom Group; Pelco; Schneider Electric; Speco Technologies",5/22/15,48351,,,,,,
"Stanford Home Centers (Stanford Lumber Co., Inc. DBA)",Allegheny,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,AkzoNobel Paints; Black & Decker; DeWalt; Do it Best Corp.; Honda Power Equipment; Toro,2/16/16,48351,,,,,,
Tri State Supply Co.,Washington,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,"3M; Acme Electric; Acorn International; Acuity Brands; Advance Ballast; AFC Cable Systems; Alcan Cable (now Stabiloy/General Cable); Allied Tube & Conduit; Amprobe; APC by Schneider Electric (formerly American Power Conversion Corp.); Appleton; BLine by Eaton (Cooper); Baldor; Belden; Bodine; Brady; Bright Star; Buchanan; Bussmann by Eaton (Cooper); CANTEX; Carlon; Cerro; Chromalox; Coleman Cable; Colonial Electric Supply; Cooper Industries (Lighting) by Eaton; Crescent/Stonco, a subsidiary of Philips Lighting; Crouse Hinds by Eaton; Dialight Corporation; Dual-Lite; Duracell; Electri-Flex; Emergilite; Encore Wire; ERICO International CorporationCADDY; Federal Signal; Fluke (Test Equipment); GE (General Electric); Generac; General Cable; Greenlee; Halo; Hoffman Enclosures (Electrical Systems); Holophane; Hubbell; Ideal Industries; ILSCO; IPEX America; Killark; Klein Tools, Inc.; Leviton Manufacturing Co., Inc.; Liebert; Lithonia; Littelfuse; LSI Industries (Lighting); Lumark; Lutron Electronics Company, Inc.; Magnetek; Marathon Special Products (Terminal Blocks/Fuse Holders); Markel; Marley; McGill Mfg; McPhilben; Metallics, Inc.; Metalux; Minerallac Company; Myers Hubs; NEC; Nexus;OZ Gedney; Panduit; Penn Union; Philips Advance; Philips Day-Brite; Philips Lighting Company; Pirelli Cable; Prescolite; RAB Lighting; Raychem; Rayovac; Republic Bag; Rockwell Automation, Inc. (Allen-Bradley); Salisbury by Honeywell; Sea Gull Lighting; Simkar; Sola Hevi-Duty; Southwire Company, LLC; Steel City; T&B (Thomas & Betts); Tappan; TCP Lighting (Technical Consumer Products, Inc.); Thomas Lighting; TPI; Triad; Unistrut; Universal Lighting Technologies; WattMan; Wheatland Tube",8/18/15,48351,,,,,,
W.C. Weil Company,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"Cla-Val; Pentair Fairbanks Nijhuis; Pentair Hydromatic; Smith & Loveless, Inc.",6/4/15,48351,,,,,,
Water Heater Distributors LLP,Allegheny,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,"A.O. Smith; Ajax Boiler, Inc.; American Standard; Lochinvar",2/3/16,48351,,,,,,
"WESCO Distribution, Inc.",Allegheny,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,"3M; Acme Electric; Airmaster Fan; Allied Power Strut; Alpha Wire; American Insulated Wire (AIW); ANAMET; Apex Tool Group (ATG); Appleton; Arlington Industries; AUGAT; B-Line by Eaton (Cooper); Belden; Berko; Brad Harrison; Brady; Bridgeport Fittings, Inc.; BRK; BROAN; Bryant; Buchanan; Burndy; Bussmann by Eaton (Cooper); CANTEX; Carlon; Carol Cable;Channellock; Chatsworth Products, Inc. (CPI); Circle A-W; Columbia Lighting; Cooper Industries (Lighting) by Eaton; Craftsman Tools; CRC Industries, Inc.; Cree; Crescent/Stonco, a subsidiary of Philips Lighting; Crouse Hinds by Eaton; Cutler-Hammer by Eaton; Dottie; DualLite; Duracell; Edwards Signal; EGS Electrical Group; Eiko Mini Lamps; ERICO International CorporationCADDY; Ericson; Eveready; Federal Signal; Ferraz Shawmut; Fisher Pierce; GB-Gardner Bender; GE (General Electric); Greenlee; Helix Hitemp Cables, Inc.; Hoffman Enclosures (Electrical Systems); Hubbell; Ideal Industries; ILSCO; Intermatic; Juno Lighting; Killark; Klein Tools, Inc.; LENOX Tools; Leviton Manufacturing Co., Inc.; Lightolier; Lithonia; Littelfuse; Louisville Ladders; Lutron; MagLite; Magnetek; McGill Mfg; Metallics, Inc.; Midwest Electric; Milwaukee Electric Tool Corporation; Minerallac Company; Moeller; Mulberry Metal; Myers Hubs; Neer/EGS; NSI Industries; OCAL INC.; OZ Gedney; Panduit; Pass & Seymour (Brand of Legrand); Philips Advance; Philips Day-Brite; Philips Lighting Company; Philips Lumec; Plymouth Rubber; Progressive; Proto; Q Mark; Rayovac; Red Dot; Rigid Conduit; RobRoy; Selecta Products; Shat-R-Shield Lamps; Siemens Corporation; Simkar; Sola Hevi-Duty; Stahlin; Stanley Tools; Suttle; T&B (Thomas & Betts); TPI; Tyco Electronics (AMP) Hubbel; Unistrut; Universal Lighting Technologies; UTILCO; Walker; Wavetek; WERNER CO.; West Penn Wire; Westinghouse; Wiegmann; Wiremold; Woodhead",4/26/15,48351,,,,,,
