Company,County Located,Electric Supplies,Flooring,General Hardware,Hand & Power Tools,HVAC,HVAC Filters,Industrial Plumbing,Lamps & Ballasts,LED Lighting,Material Handling,Metalworking,Motors & Power Transmission,Outdoor Tools,Paint,Pneumatics,Pumps & Plumbing,Safety,Security,Test Equipment,Manufacturing,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
84 Lumber Company,Washington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"3M; A.J. Funk & Co.; Acorn International; ACP-Acoustic Ceiling Products; Acuity Specialty Products; Adams Manufacturing Corp.; Adjustable Clamp Company; ADO Products; Advance Transformer; AF Lighting; Agri-Fab; Air King; Ali Industries, Inc.; Allied Moulded Products; Allied Tube & Conduit; Allway Tools; Alsons Company; American Flourescent; American Granby; American Gypsum; American Metal; American Shower & Bath Corporation; American Valve; Ameriscape, Inc.; Amerock Corporation; Ames True Temper; Anaheim Manufacturing Company; Anderson Metals Corporation; Apex Tool Group (ATG); Apollo Valves (CONBRACO Industries); Armstrong Commercial Flooring; Arnold Corporation; Arrow Fastener; Arrowhead Brass & Plumbing; AtlasBellingham Glove; Auburn Leather Company; Bayco Products, Inc.; Bekaert Corporation-Wire; Bemis Manufacturing Company; Billy Penn, Inc.; Black & Decker; Blitz USA, Inc.; Bonsal American-Oldcastle; Boss Manufacturing Company (Protective Products); Bulldog Hardware; Bussmann by Eaton (Cooper); C.H. Hanson; Campbell Hausfeld; Carlon; Channellock; Chapin; Cobra Products; Cooper Industries (Lighting) by Eaton; Cooper Wiring Devices by Eaton; Crane Pumps; CRC Industries, Inc.; Cresline Plastic Pipe Co., Inc.; CutlerHammer by Eaton; Daltile; DAP; Derr Flooring; Duracell; Elkhart Products Corporation (Plumbing); Energizer Battery; Envision; ERICO International CorporationCADDY; Estwing; EZ-FLO; FEIN; Fernco; First Alert; Fluidmaster; General Tools; Genova Products, Inc.; Geocel Corporation; Gray Metal; Guardian Building Products; Henkel Corporation; Hitachi; Homax; Honeywell; Hubbell; Hunter Fan Company; Huttig Building Products, Inc.; Hyde Tools, Inc.; Ideal Industries; Ingersoll Rand; Ives; J.J. Haines & Company; JELD-WEN; Klein Tools, Inc.; Krylon; Lambro; Larson Manufacturing (Storm Doors/Windows); Legend Valve and Fitting, Inc.; Leviton Manufacturing Co., Inc.; Little Giant Pump Co.; Lutron Electronics Company, Inc.; MAG INSTRUMENTS INC; MAKITA; Malco Products, Inc.; Master Lock; Medline Industries, Inc.; Microflex; Milwaukee Electric Tool Corporation; Minwax; Moen; Mohawk Industries (Flooring); MSAMine Safety Appliances; MTD; Norcross; Norton Door Controls; Oatey; Osram Sylvania; Petersen Manufacturing; Porter-Cable; Pramac; Prime Conduit; Purdy; Purolator (Filters); RectorSeal; Reliance Controls Corporation; Reliance Water Heaters; Rheem; Rust-Oleum; S.C. Johnson; Schlage; Senco; Shaw Industries; ShopVac Corporation; Siemens Corporation; Sika Corporation; SKIL; Southwire Company, LLC; Spectrum Outdoor Products; Square DSchneider Electric; Stanley Commercial Hardware; Stanley Tools; Sterling Plumbing by Kohler Co.; Swan; TPI; Tyco-AMP; Valspar; Ventamatic; Vestal Manufacturing Enterprises; WD-40 CO.; WERNER CO.; William H. Harvey Co.; Wiremold; Woods Industries; Wooster",2/16/16,48351,,,,,,
"AB Specialties, Inc.",Allegheny,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"BEST Access Systems by Stanley Security Solutions, Inc.; Chappell Door Co.; Falcon (Hardware); GlynnJohnson; Hager; LCN Closers; Pemko; Precision Hardware (Exit Devices); Scranton Products (Washroom Partitions, Lockers, Vanities); Select Products; SpecialLite; Steelcraft; Total Door; Von Duprin",9/11/15,48351,,,,,,
Batteries Plus Pittsburgh (EFNY Corporation DBA),Allegheny,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,"APC by Schneider Electric (formerly American Power Conversion Corp.); Ascent Battery Supply, LLC; Cobra Products; Deka by East Penn Manufacturing Co., Inc.; DeWalt; Duracell; Exide Technologies; Hilti; Icom America, Inc.; Kenwood; MAKITA; Maxon (Security); MIDLAND RADIO CORPORATION; Milwaukee Electric Tool Corporation; Motorola, Inc.; NUON; Odyssey Automotive Specialty, Inc.; OPTIMA; Panasonic; POWERSONIC; PulseTech; Rayovac; Sanyo; StreamLight; UNIDEN; Vertex Standard (Radio Communications Equipment); WERKER; YUASA",4/21/15,48351,,,,,,
C.M. Eichenlaub Co,Allegheny,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Patcraft,9/23/15,48351,,,,,,
"City Lighting Products Co., Inc.",Allegheny,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,2/16/16,48351,,,,,,
Cleveland Brothers Equipment Co. Inc.,Westmoreland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Atlas Copco; Caterpillar (CAT); GE (General Electric); Sullair Corporation,1/27/16,48351,,,,,,
Combustion Service & Equipment Co.,Allegheny,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,"Aiphone Corporation; Andover ContinuumSchneider Electric; Auburn Coal; Belimo; Burnham; Carrier (HVAC); Danfoss; Fulton (HVAC); Hankison; HID Global Corporation; Invensys; Johnson Controls; LG Electronics, Inc.; Mitsubishi Motors North America, Inc.; Power Flame; PVI; RBI (Boilers/Water Heaters); Schneider Electric; Square DSchneider Electric; Trane; Veris Industries; Weishaupt; York (HVAC)",4/29/15,48351,,,,,,
"Crystalline Technology, LLC",Westmoreland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Browning; Crystalline Technology; EnGenius; Linksys; NetGear; Saitell; Seagate Technology; Wifitexas.com; Zmodo,6/26/15,48351,,,,,,
Dagostino Electronic Services,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,DSX Access Systems; Genetec,11/12/15,48351,,,,,,
DataMatrix Systems,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Nuvico; Pelco by Schneider Electric,10/28/15,48351,,,,,,
