Company,County Located,4x2 Utility Vehicles,Air Compressors & Generators (truck mounted),Alternate Fuel Conversions,Alternate Fuel Vehicles,Body Upfits,Bucket Trucks,Cab & Chassis,Cranes (truck mounted),Garbage Trucks,Hydraulic Systems (truck mounted),Liftgates,Lifts- Vehicle Mobile (which do not require construction),Liquid Winter Maintenance Systems (truck mounted),Pickup Trucks and Cargo Vans,Recycling Trucks,Salt/Sand Spreaders (truck mounted),Snowplows (truck mounted),Trailers,Vacuum Trucks/Street Sweepers,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Salandro Equipment Sales, Inc.",Westmoreland,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,"Scranton Mfg. Co., Inc.",7/28/15,48557,,,,,,
Shults Ford Lincoln Inc.,Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Smail Compnay Inc.,Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company; General Motors (ChevroletBuick-GMCCadillac),3/27/16,48557,,,,,,
Steel City Mower and Plow,Allegheny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Air-Flo Manufacturing; Boss Industries (Compressors); Buyers Products Company,9/24/15,48557,,,,,,
Tri-County Truck Center,Armstrong,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Mack Trucks; Volvo Trucks,3/15/16,48557,,,,,,
"Tri-Star Ford McKeesport, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/15,48557,,,,,,
Walsh Equipment Inc.,Butler,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,"Chelsea Products (PTO-Hydraulics); Commercial Intertech; Dinkmar Mfg.; Elkin Hi-Tech, Inc.; Gledhill Road Machinery Company; GVM Snow Equipment; H.T.C., Inc. (Hydraulic Truck Conveyor); Highway Equipment Co.; HUG Manufacturing; IMSupplies (Industrial Motor Supply, Inc.); J&J Truck Bodies & Trailers; Meiter Specialty; Muncie Power Products; Orion Equipment Innovations (Trailers); Parker and Eaton Hydraulic Pumps (Complete Line); Ray-Tech Infrared; Schwarze Industries Inc.; Somerset Welding & Steel Co Inc.; Super City Manufacturing Co.; Sweepster; Trux, Inc.; Viking Cives; Walsh Equipment Inc.; Wausau-Everest L.P.; Western Products (Snow Plows/Removal Equip)",4/21/16,48557,,,,,,
"Watt's Truck Center, Inc.",Westmoreland,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Mack Trucks,4/21/16,48557,,,,,,
"Woltz & Wind Ford, Inc.",Allegheny,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Ford Motor Company,4/21/16,48557,,,,,,
Zoresco Equipment Company,Allegheny,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"Anthony Liftgates, Inc.; ArmLift (Div. of TG Industries, Inc.); Big Tex Trailers; Buyers Products Company; Chelsea Products (PTOHydraulics); Dakota; Fisher Engineering (Plows/Spreaders); Fleetwest Slip-On Truck Bodies; JOMAC, Ltd.; Keystone Spring Service; Knapheide Manufacturing Company; M.H. Eby, Inc.; Masterack; Meyer Products; PSD-Point Spring & Driveshaft Co.; Rugby Manufacturing Co. (TBEI); Thieman Tailgates, Inc.; TruckCraft; U.S. Truck Body; Vanair Manufacturing, Inc.; Venturo; VMAC (Vehicle Mounted Air Compressors); Waltco Truck Equipment Co.; WEATHER GUARD (Werner Co.); Wells Cargo; Western Products (Snow Plows/Removal Equip)",10/21/15,48557,,,,,,
