Company,County Located,Desktop PCs and Monitors,Items to Support Multimedia Communications and LANs,Laptops/Notebooks and Personal Computing Devices,Peripherals and Networking Gear,Servers and Data Storage,Telephony Equipment and Software,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
Dell Marketing LP,,Yes,Yes,Yes,Yes,Yes,No,"3Com; Advocent Corporation; APC by Schneider Electric (formerly American Power Conversion Corp.); Belkin; Citrix; Compellent; D-Link; Dell; ELMO USA; Enterasys Networks, Inc.; Epson; EqualLogic; Extreme Networks; F5 Networks; Force 10; Linksys; NEC; NetGear; Nortel Networks; Planar Systems, Inc.; Promethean; Quantum (Storage, Archive and Data protection); Tripp Lite; Viewsonic",11/10/15,48753,,,,,,
Design Data Corporation,,Yes,No,Yes,Yes,Yes,No,Dell,4/28/16,48753,,,,,,
DVS Direct,,No,Yes,No,No,No,No,Blackmagic Designs; Broadcast Pix; Broadfield Distributor; Chyron; DVS Direct; Graphic Outfitters; Live Stream; NewTek; ProIntercom; Roland Systems Group; TecNec Distributing; Vaddio; VSA Line Card,3/25/16,48753,,,,,,
"EarthWalk Communications, Inc.",,Yes,No,Yes,Yes,No,No,EarthWalk; Lenovo,10/20/15,48753,,,,,,
"Empire Communication Systems, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Aruba Networks, Inc.; Avaya; Axis Communications; Bosch Communication Systems (Telex/Electro-Voice); ICON Voice Networks; NEC; Panasonic",6/12/16,48753,,,,,,
"En-Net Services, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,"Allied Telesis; Aruba Networks, Inc.; Axiom; B&B Smartworks; Belkin; Black Box; Brocade; Cisco Systems; Eaton; Eizo, Inc.; Fujitsu; G-Tech; Hewlett-Packard (HP); Imation; InFocus; IOGear; Kodak Alaris (no cameras); Lantronix; Lenovo; Microsoft Corporation; NetGear; Nutanix; Panasonic; Plantronics; Samsung; Toshiba; Transition Networks; Viewsonic; Xerox; Zebra Technologies",6/9/16,48753,,,,,,
Enabling Technologies Corporation,,Yes,Yes,Yes,Yes,Yes,Yes,"Aastra USA, Inc.; Jabra; Plantronics; Polycom; Snom",4/23/16,48753,,,,,,
"Enterasys Networks, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Enterasys Networks, Inc.",10/28/15,48753,,,,,,
"Entertainment Services Group, Inc.",,No,Yes,No,No,No,No,"ACE Backstage Co., Inc.; BTX Technologies, Inc.; Draper, Inc.; Eiki; ETC-Electronic Theatre Controls; Kramer Electronics; LG Electronics, Inc.; Martin Professional; Peerless Industries, Inc. (AV/Mounts); Sennheiser; SKMac- Samuel K. Macdonald; SP Controls; Tascam; Yamaha",4/5/16,48753,,,,,,
"ePlus Technology, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"A10 Networks; Anixter; APC by Schneider Electric (formerly American Power Conversion Corp.); Arrow Electronics, Inc.; Avocent; Axis Communications; Barracuda Networks; Belkin; Blue Coat Systems, Inc.; BlueCat Networks; Bosch Communication Systems (Telex/Electro-Voice); Brocade; Brother International Corp.; Canon USA; Checkpoint Technologies; Cisco Systems; Citrix; Datamation Systems; Dell; EMC Corporation (IT Hardware, Storage, Software); Epson; Extreme Networks; F5 Networks; FatPipe Networks; FireEye, Inc. (IT Hardware); Fujitsu; Hewlett-Packard (HP); IBM; Infoblox; InFocus; Ingram Micro-Line Card; IPcelerate; Juniper Networks (US), Inc.; Kingston Technology; Kodak; Kontactx; Lenovo; Lexmark; Liebert; Logitech; McAfee; Motorola, Inc.; nComputing; NEC; NetApp; NetScout; Nimble Storage; Oki Data; OPNET; Panasonic; Pelco by Schneider Electric; Q1 Labs, Inc.; Quantum (Storage, Archive and Data protection); Ricoh; Safenet, Inc.; ScanSource, Inc.-Line Card; Sony; Sophos; Synnex Corporation-Line Card; Tech Data Corporation-Vendor Line Card; Toshiba; Transition Networks; Tripp Lite; Viewsonic; Wyse; Xerox",9/8/15,48753,,,,,,
"Essex Technology Group, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,Gridless Power; IBM; StorServer,5/17/16,48753,,,,,,
"Exelos (Statimate Systems, Inc. DBA)",,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems; Dell; Hewlett-Packard (HP); Infotel,10/25/15,48753,,,,,,
Extron Electronics,,Yes,Yes,Yes,Yes,Yes,Yes,Extron Electronics,9/21/15,48753,,,,,,
"FireFly Computers, LLC",,Yes,No,No,Yes,Yes,No,Acer (IT Hardware and Electronics); Asus; FireFly Computers; Logitech,3/6/16,48753,,,,,,
"Fitch Electronics, Inc",,No,Yes,No,No,No,No,"AKG Acoustics; Atlas Sound; Aviom; Chief Manufacturing; Community Loudspeakers; Crown Audio, Inc. (Crown International); dbx by Harman; Denon & Marantz (D&M) Professional; Gator Cases; JBL by Harman; Middle Atlantic Products; Rane Professional Audio Products; Soundcraft by Harman; Vaddio; West Penn Wire",1/7/16,48753,,,,,,
"Forerunner Technologies, Inc",,No,No,No,No,No,Yes,NEC,11/12/15,48753,,,,,,
Freedom Systems Corp.,,Yes,Yes,Yes,Yes,Yes,Yes,Freedom Systems Corp.; Ingram Micro- Line Card,11/3/15,48753,,,,,,
"Frontier Technologies, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Ingram Micro-Line Card,10/28/15,48753,,,,,,
"Full Circle Solutions Group, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Ingram Micro-Line Card; Synnex Corporation-Line Card,11/30/15,48753,,,,,,
"GovConnection, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"3M; Acer (IT Hardware and Electronics); Adaptec; Addonics; Adesso; Aerohive Networks; Aluratek; Alvarion, Inc.; APC; Apple; ApricornBuffalo; Asus; Aten Technologies; Avaya; Avocent; Axiom; Belkin; Black Box; Blue Coat Systems, Inc.; Bluesocket; BTI; Buffalo; Cables To Go; Canon Computer Systems, Inc.; CD Intl; Chief Manufacturing; Cisco Systems; CMS Products, Inc.; Compellent; Corsair; Creative Labs, Inc.; Cyberpower Systems; D-Link; Da-Lite; Data Domain (Div. of EMC Corp.); Data Robotics; Dell; Eaton; EDGE Tech Corporation; Electronic Arts; EMC Corporation (IT Hardware, Storage, Software); Ergotron; Exabyte; Fijitsu; Fujifilm; GN Netcom; Hammer Storage; Hewlett-Packard (HP); Hitachi; Hubbell; IBM; Imation; Intel; IOMEGA; LaCie; Lefthand Networks; Lenovo; Liebert; Linksys; Maxtor; Memorex; Motion; Motorola, Inc.; MSI; NetGear; Palm; Panasonic; Polycom; Shore Tel; ShoreTel VOIP Product Line; Sony; Toshiba; TRENDnet; USRobotics; Xircom",3/15/16,48753,,,,,,
Graffen Business Systems,,Yes,Yes,Yes,Yes,Yes,Yes,BigHand; Nuance; Olympus; Phillips Health Care,2/21/16,48753,,,,,,
"Hagan Business Machines of Meadville, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Hewlett-Packard (HP); KIP; Lexmark; Muratec; Oki Data; Riso; Toshiba,10/13/15,48753,,,,,,
Haverford Systems,,Yes,Yes,No,Yes,No,No,"Altinex; AMX; Anchor Audio; Arecont Vision; Atlas Sound; Audio Technica; Axis Communications; Biamp Systems; Bretford Manufacturing (Technologyenabled Furniture); BTX Technologies, Inc.; Canon USA; Cardinal Peak; Chief Manufacturing; ClearOne; Crestron; Da-Lite Screen Co.; Denon & Marantz (D&M) Professional; Digital Projection, Inc.; Display Devices; Draper, Inc.; ELMO USA; Epson; Exacq Technologies; Exact Furniture; Extron Electronics; FSR, Inc.; Ganz by CBC AMERICA Corp.; InFocus; Interlink Electronics; JBL by Harman; Klipsch; LG Electronics, Inc.; LifeSize; Lutron Electronics Company, Inc.; Marshall Furniture; NetStreams; OmniMount; Panasonic; Panduit; Peerless Industries, Inc. (AV/Mounts); Polycom; Premier Mounts; Purelink; QSC Audio Products, LLC; Raxxess; RDLRadio Design Labs; Revolabs; RGB Spectrum; Sabine Audio; Samson Technologies, Inc.; Samsung; Sanyo; Sharp Electronics Corporation; Shure; SMART Technologies; SoundTube Entertainment; SP Controls; Spectrum Industries (Furniture); Surgex; TEAC America, Inc.; TOA Electronics, Inc.; Toner Cable; Toshiba; Vaddio; VFI-Video Furniture International, Inc.; WideBand; Williams Sound; Winsted; Wolfvision; Xantech; Yorkville",9/21/15,48753,,,,,,
Hewlett Packard Company,,Yes,Yes,Yes,Yes,Yes,Yes,Hewlett-Packard (HP),9/13/10,48753,,,,,,
"Higher Information Group, LLC",,Yes,Yes,Yes,No,Yes,No,Dell; Panasonic,7/10/16,48753,,,,,,
Hitachi Data Systems,,No,No,No,Yes,Yes,No,Aptare; Brocade; Bus-Tech; Cienna; Cisco Systems; CommVault; Emulex; Hitachi; IBM; InMage; Qlogic; Silver Peak,7/13/15,48753,,,,,,
"Horizon Information Services, Inc.",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,"Ingram Micro-Line Card; MotionComputing; Motorola, Inc.; Tech Data Corporation Vendor Line Card",10/14/16,48753,,,,,,
"Horizon Information Systems, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Ingram Micro-Line Card; MotionComputing; Motorola, Inc.; Tech Data Corporation- Vendor Line Card",6/29/16,48753,,,,,,
"Ideal Integrations, Inc.",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Enterasys Networks, Inc.; Ingram MicroLine Card",6/13/15,48753,,,,,,
"IIS Group, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,APC by Schneider Electric (formerly American Power Conversion Corp.),8/14/15,48753,,,,,,
Imported Brands of Canada,,Yes,Yes,Yes,Yes,Yes,No,Apple; Dell; Hewlett-Packard (HP); Lenovo,1/10/16,48753,,,,,,
IMR Limited,,No,No,No,Yes,No,No,IMR; NextScan,12/2/15,48753,,,,,,
"IMS Audio Visual, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Chief Manufacturing; Comprehensive Video; Crestron; Da-Lite Screen Co.; Draper, Inc.; Haivision Network Video; JBL by Harman; KBZ Communications; Kramer Electronics; Middle Atlantic Products; Nexus; Panasonic; Sanyo; ScanSource, Inc.- Line Card; SMART Technologies",11/15/15,48753,,,,,,
Information Technologies Services,Allegheny,No,Yes,No,No,No,No,"Atlas Sound; Axis Communications; BrightSign; Chief Manufacturing; ClearOne; Crestron; Crown Audio, Inc. (Crown International); DaLite Screen Co.; Furman Audio; Hitachi; InFocus; IQinVision; JBL by Harman; Kramer Electronics; LG Electronics, Inc.; Mitsubishi Electric Visual & Imaging Systems; NEC; Next Level Security Systems; Panasonic; Shure",5/2/16,48753,,,,,,
"Infradapt, LLC",,No,Yes,Yes,Yes,Yes,Yes,"ADTRAN, Inc.; Dell; Digium; Polycom",4/19/16,48753,,,,,,
"IntegraONE (Integra Business Center, Inc. DBA)",,Yes,Yes,Yes,Yes,Yes,Yes,"American Power; Axis Communications; Barracuda Networks; Blue Coat Systems, Inc.; Bradford Networks; Bretford Manufacturing (Technologyenabled Furniture); Brocade; Cisco Systems; Eaton Power; EMC Corporation (IT Hardware, Storage, Software); Ergotron; Exinda; Fortinet; Hewlett-Packard (HP); iBoss Network Security; Lenovo; Lightspeed Systems; Samsung; SonicWALL; Tegile Systems",9/13/15,48753,,,,,,
Integration Partners Corp.,,No,Yes,No,Yes,No,No,"Aruba Networks, Inc.; Avaya; Juniper Networks (US), Inc.; Palo Alto",10/30/15,48753,,,,,,
"Intermedia Group, Inc.",,Yes,Yes,Yes,Yes,Yes,No,APC by Schneider Electric (formerly American Power Conversion Corp.); Buffalo; Cisco Systems; Dell; Lenovo; SonicWALL,6/29/16,48753,,,,,,
"Iron Tree Data Networks, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems; Hewlett-Packard (HP); Lenovo; Linksys; Microsoft Corporation,5/26/16,48753,,,,,,
"Island Tech Services, LLC",,No,No,Yes,Yes,No,No,Getac (Rugged Tablets/Laptops),3/14/16,48753,,,,,,
"J.P. Lilley and Son, Inc.",,No,Yes,No,Yes,Yes,Yes,"3M; AMX; Anchor Audio; Audio Technica; Bose; Califone International, Inc.; Canon USA; Chief Manufacturing; ClearOne; Comprehensive Video; Crestron; Crown Audio, Inc. (Crown International); Da-Lite Screen Co.; Eiki; ELMO USA; Epson; Extron Electronics; JBL by Harman; MacroSystem; Panasonic; Peerless Industries, Inc. (AV/Mounts); Polycom; Qomo HiteVision, LLC; Rane Professional Audio Products; Raxxess; Sharp Electronics Corporation; Shure; SMART Technologies; TOA Electronics, Inc.; Vaddio; VBrick; VFIVideo Furniture International, Inc.; Visix",1/14/16,48753,,,,,,
"Juniper Networks (US), Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Juniper Networks (US), Inc.",6/6/16,48753,,,,,,
K&C Communications,,Yes,Yes,Yes,Yes,Yes,Yes,"Motorola, Inc.",10/31/15,48753,,,,,,
"Keyser Consulting Group, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Polycom,4/15/16,48753,,,,,,
Keystone Communications Service,,No,Yes,No,Yes,No,Yes,"CP Technologies (Level One); EnGenius; Firetide; Hartmann Controls Corp.; J.E.I., Inc.; Keystone Communications; Process Solutions, Inc. (PSI); Spectracom; Trango Systems",2/3/16,48753,,,,,,
"KIT Network Cabling, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,"Central Penn Wire & Cable (Distributor); Chatsworth Products, Inc. (CPI); Cisco Systems; ComCables; Corning, Inc.; DLink; Dell; ERICO International Corporation- CADDY; Exacq Technologies; General Cable; Great Lakes Electronics; Hewlett- Packard (HP); Ingram Micro-Line Card; Lenovo; Leviton Manufacturing Co., Inc.; Linksys; Middle Atlantic Products; NEC; Panduit; Superior Essex",2/4/16,48753,,,,,,
LAM Systems a Division of DGC IT Solutions,,Yes,Yes,Yes,Yes,Yes,No,"Acer (IT Hardware and Electronics); AOC; Asus; Belkin; Brocade; Canon USA; Datamation Systems; Dell; Epson; Fujitsu; Hannspree; Hewlett-Packard (HP); Kingston Technology; LAM Systems, Inc.; Lenovo; Linksys; Microstar International (MSI); NEC; NVIDIA Corporation; Samsung; Seagate Technology; Spectrum Industries (Furniture); Tech Data Corporation-Vendor Line Card; Toshiba; V7; Viewsonic",9/24/15,48753,,,,,,
Lantek Computer Service,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,APC by Schneider Electric (formerly American Power Conversion Corp.); BenQ; HoverCam Document Cameras,8/9/15,48753,,,,,,
"Lenovo (United States), Inc.",,Yes,Yes,Yes,Yes,Yes,No,Lenovo,2/6/16,48753,,,,,,
Lerro Corporation,,No,Yes,No,No,Yes,No,"1-Source Electronic Components; Adobe; Anchor Audio; Anton Bauer; AVTEQ (AV carts, mounts, videoconferencing furniture); BenQ; Beyerdynamic; Blackmagic Designs; Cables To Go; Canon USA; Chief Manufacturing; ClearCom; ClearOne; Cobalt; Crest Audio; Crestron; Crown Audio, Inc. (Crown International); CyberTouch; D-Link; dbx by Harman; DT Research; ELMO USA; Ensemble Designs; Epson; Ergotron; Expert Computers, Inc.; Fast Forward Video (FFV); Fiber Optic Systems; FSR, Inc.; Fujinon; Furman Audio; Gefen Systems; Hewlett-Packard (HP); Hitachi; InFocus; JBL by Harman; JVC Americas Corp.; Kramer Electronics; LG Electronics, Inc.; Liberty AV Solutions; LifeSize; Little Lite; LOWELL Manufacturing Co. (AV); Mackie Audio; Magic Box, Inc.; Marshall Electronics, Inc; Martin Audio; Middle Atlantic Products; Miller Tripods; Mitsubishi Electric Visual & Imaging Systems; Multidyne Video; NEC; NewTek; OmniMount; OPTOMA; Panasonic; PDR Mounts; Peerless Industries, Inc. (AV/Mounts); Petrol Bags; Planar Systems, Inc.; Polycom; PSPresentation Switchers, Inc.; Revolabs; RGB Spectrum; Rorke Data; Ross Video Production Tech; Sabine Audio; Sachtler; Samsung; Sanyo; Sharp Electronics Corporation; SI Screen Innovations; SKB Corporation; Sony; Soundcraft by Harman; StarTech; Stewart Audio; SVSi - Southern Vision Systems, Inc.; Synnex Corporation-Line Card; Tannoy; TecNec Distributing; Tripp Lite; Vaddio; ViewCast; Viewsonic; Vivitek; Whirlwind",2/19/16,48753,,,,,,
"Lightspeed Technologies, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems; Ipcelerate,10/26/15,48753,,,,,,
Link Computer Corporation,,Yes,Yes,Yes,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Axis Communications; Barracuda Networks; Cisco Systems; Citrix; CLI (Computer Labs International); Dell; EqualLogic; Ergotron; Fujitsu; Hewlett-Packard (HP); IBM; IronPort Systems (Cisco); Kaspersky; Kingston Technology; Lenovo; Lexmark; Microsoft Corporation; NEC; Nimble Storage; Plantronics; Polycom; Samsung; Solar Winds; SonicWALL; Sony; Symantec; Tandberg, Inc.; Toshiba; VMWare; Websense; Xerox",9/30/15,48753,,,,,,
"Logical Front, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,Dell; NVIDIA Corporation,5/5/16,48753,,,,,,
"LPS Associates, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,AverMedia Information; LifeSize,11/15/15,48753,,,,,,
"MCPs, Inc.",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,"3Com; Acer (IT Hardware and Electronics); APC by Schneider Electric (formerly American Power Conversion Corp.); Barracuda Networks; Cisco Systems; Compellent; Crestron; Dell; EMC Corporation (IT Hardware, Storage, Software); Enterasys Networks, Inc.; EqualLogic; Extron Electronics; F5 Networks; Fujitsu; HewlettPackard (HP); IBM; Ingram Micro-Line Card; Juniper Networks (US), Inc.; Lenovo; Liebert; Logitech; Microsoft Corporation; NEC; NetApp; Overland Storage; Panasonic; Polycom; Riverbed; Samsung; ShoreTel VOIP Product Line; SMART Technologies; SonicWALL; Sony; Tandberg, Inc.; Toshiba; VBrick; Viewsonic; Websense; Wyse",9/9/15,48753,,,,,,
"Micro Technology Group, Inc.",,No,No,No,Yes,Yes,No,"Aruba Networks, Inc.; Barracuda Networks; Cisco Systems; DROBO; Dymo; Fortinet; IBM; Infoblox; Lenovo; M86 Security; Mimio; Trustwave",12/1/15,48753,,,,,,
Micro Works (dba) Informative LTD,,Yes,No,Yes,Yes,Yes,No,Cisco Systems; Hewlett-Packard (HP); Lenovo,5/12/16,48753,,,,,,
"Micro-One Computer Center, Inc",,Yes,Yes,Yes,Yes,Yes,Yes,Wyse,6/21/15,48753,,,,,,
"Microapex Computer Systmes, Inc.",,Yes,Yes,Yes,Yes,Yes,No,"Acer (IT Hardware and Electronics); Asus; Cisco Systems; D-Link; Hewlett-Packard (HP); Intel; Lenovo; Microapex Computer Systems, Inc.; Microsoft Corporation; NetGear; Toshiba; TP-Link; TRENDnet",4/28/16,48753,,,,,,
"Morefield Communications, Inc.",,No,Yes,No,Yes,Yes,Yes,"ADTRAN, Inc.; Allworx Corp.; AMX; Arecont Vision; Atlas Sound; Avaya; Bosch Security Systems; Cisco Systems; Crown Audio, Inc. (Crown International); Exacq Technologies; Extron Electronics; IDenticard Systems; Iwatsu; JBL by Harman; Middle Atlantic Products; Nortel Networks; Polycom; Sanyo North America; ShoreTel VOIP Product Line; Shure; Soundcraft by Harman; TOA Electronics, Inc.",3/14/16,48753,,,,,,
"MTM Technologies, Inc.",,No,Yes,No,Yes,Yes,Yes,Cisco System; Citrix,1/22/16,48753,,,,,,
"Nellcom Technologies, LLC",,Yes,Yes,Yes,Yes,Yes,No,Dell,3/20/16,48753,,,,,,
Netech Corporation,,Yes,Yes,Yes,Yes,Yes,Yes,Cisco Systems; Nimble Storage,4/19/16,48753,,,,,,
Nolan and Rogers,,No,Yes,No,No,No,No,"APC by Schneider Electric (formerly American Power Conversion Corp.); Atbatt (At Battery Company); Balt; Best Rite; Cables To Go; Cetacea Sound; Conen; Crucial; Diversitrack; DROBO; ELMO USA; FSR, Inc.; Hitachi; Inclusive TLC; Ingram Micro-Line Card; LG Electronics, Inc.; Luidia; Magic Box, Inc.; nComputing; Pano Logic; PLD Global; Premier Mounts; Priam Technologies, Inc.; Printer Essentials; Soundcraft by Harman; SVSi -Southern Vision Systems, Inc.; Symco; Vivitek",7/5/15,48753,,,,,,
"NORSTAR Telecommunications, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,ShoreTel VOIP Product Line,12/3/15,48753,,,,,,
OA Systems,Allegheny,No,Yes,No,Yes,No,Yes,Polycom; Ubiquiti,6/3/15,48753,,,,,,
"Office Technology, LLC",,Yes,Yes,Yes,Yes,Yes,Yes,,8/13/15,48753,,,,,,
"Omega Systems Consultants, Inc.",,No,No,No,No,No,No,Barracuda Networks; Hewlett-Packard (HP); Microsoft Corporation; Symantec; TriVium,2/23/16,48753,,,,,,
Optech,,No,Yes,No,No,No,No,Boxlight; HoverCam Document Cameras; InFocus; Mimio,10/20/15,48753,,,,,,
"PhillyCom, Inc.",,No,Yes,No,Yes,No,No,Aerohive Networks; Barracuda Networks; Extreme Networks; LifeSize,7/10/15,48753,,,,,,
"Pierson Computing Connection, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Meraki,6/20/16,48753,,,,,,
Pomeroy IT Solutions Sales Company,,Yes,Yes,Yes,Yes,Yes,Yes,"Avaya; Cisco Systems; Dell; EMC Corporation (IT Hardware, Storage, Software); Enterasys Networks, Inc.; F5 Networks; Hewlett-Packard (HP); IBM; Lenovo; SMART Technologies; Xerox",5/10/16,48753,,,,,,
"Presidio Networked Solutions, Inc.",,No,Yes,No,Yes,Yes,Yes,"APC by Schneider Electric (formerly American Power Conversion Corp.); Cisco Systems; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); IBM",3/19/16,48753,,,,,,
Prime Communications,Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,"A10 Networks; Arista (IT Hardware); EMC Corporation (IT Hardware, Storage, Software); HewlettPackard (HP); Infoblox; Mitel; Nutanix; Solarwinds; Tintri",11/25/15,48753,,,,,,
"PSX, Inc.",,No,Yes,No,Yes,Yes,No,"Amano (Access/Video); Avigilon; Axis Communications; Bogen Communications, Inc.; Bosch Communication Systems (Telex/Electro-Voice); Code Blue Corporation; Exacq Technologies; Fluidmesh; MaXxess; S2 Security Corporation; Tri-Ed; Verint; Vicon",9/12/15,48753,,,,,,
Questeq,Allegheny,Yes,No,Yes,Yes,Yes,No,"Axis Communications; Enterasys Networks, Inc.; HewlettPackard (HP); Lenovo; nComputing",10/25/15,48753,,,,,,
"Razor Technology, LLC",,No,No,No,Yes,Yes,No,"Cisco Systems; EMC Corporation (IT Hardware, Storage, Software); Hewlett-Packard (HP); NetApp",9/29/15,48753,,,,,,
"Reabah, Inc. dba Networking Technologies",,Yes,Yes,Yes,Yes,Yes,Yes,"ADTRAN, Inc.; APC by Schneider Electric (formerly American Power Conversion Corp.); Barracuda Networks; Check Point; Extreme Networks; Fortinet; Hewlett-Packard (HP); Infoblox; Lenovo; Liebert; Transition Networks",3/26/16,48753,,,,,,
"RF Design & Integration, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Arecont Vision; Bosch Communication Systems (Telex/Electro-Voice); HiNT Peripherals; Hutton Communications; Hytera; Impact Products; Kenwood; Patrol PC,3/21/16,48753,,,,,,
"Ricoh USA, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Ricoh,9/1/15,48753,,,,,,
"RPC Video, Inc.",Allegheny,No,Yes,No,No,No,No,"3M; AKG Acoustics; Allen & Heath; American DJ Supply, Inc.; AmpliVox Sound Systems; Anchor Audio; Anton Bauer; APC by Schneider Electric (formerly American Power Conversion Corp.); Atlas Sound; Atlona; Audio Technica; Belden; Blonder Tongue; Bretford Manufacturing (Technologyenabled Furniture); ClearOne; Communications Specialties, Inc.; Contemporary Research; Da-Lite Screen Co.; Draper, Inc.; EverFocus; Gefen Systems; Kramer Electronics; Manfrotto; Marshall Electronics, Inc; Middle Atlantic Products; Nady Systems, Inc.; Panasonic; Peerless Industries, Inc. (AV/Mounts); Polycom; RDLRadio Design Labs; Scale Logic, Inc.; SENKO Advanced Components; Sennheiser; Shure; Switchcraft; TecNec Distributing; Vaddio; Videssence; Wohler",7/5/15,48753,,,,,,
"Sage Technology Solutions, Inc.",,No,Yes,No,No,No,No,"3M; ACE Backstage Co., Inc.; ACTi Corporation; Aerohive Networks; Aiphone Corporation; Altinex; Amcom; American Fibertek, Inc.; American Visual Display; AMX; Architectural Acoustics (Peavey); Arecont Vision; Atlas Sound; Atlona; Audio Technica; Aurora Multimedia; Australian Monitor; Aviom; Avlex; Axis Communications; Basler; BestLink Netware; Biamp Systems; Blonder Tongue; Bogen Communications, Inc.; Bosch Communication Systems (Telex/Electro-Voice); Bretford Manufacturing (Technologyenabled Furniture); Broadata; BSS Audio by Harman; Cables To Go; Chief Manufacturing; ClearOne; Clock Audio; CNB Technology; Community Loudspeakers; Comprehensive Video; Conen; Crestron; Crown Audio, Inc. (Crown International); Da-Lite Screen Co.; dbx by Harman; DCM; Denon & Marantz (D&M) Professional; Digital Projection, Inc.; Draper, Inc.; Dynacord; EAWEastern Acoustic Works; eCAS (Veramark); Edirol; Eiki; Electro-Voice (EV); ELMO USA; Essex Wire; Exacq Technologies; First Choice Communications; Furman Audio; Galaxy Audio; Gator Cases; HCIHealthCare Information; Heritage MedCall; Hosa Technology; HSA, Inc.; Infocrest Technology, Inc.; InFocus; Intelix; ioimage; IQinVision; JBL by Harman; JVC Americas Corp.; Klark Teknik; Kramer Electronics; Krames-Wire.MD; KSI Professional; Lab Gruppen; Leviton Manufacturing Co., Inc.; LG Electronics, Inc.; Liberty Wire and Cable; Listen Technologies; LOWELL Manufacturing Co. (AV); Lumens (Audio-Visual); Marshall Electronics, Inc; Marshall Furniture; MaXxess; Media Matrix (Peavey); Meru Networks; Midas (Small Format Consoles); Middle Atlantic Products; Mux Lab Inc.; Mystery Electronics; Navitar; NEC; Nova Solutions (Technology Furniture); OmniMount; One Systems; OWI, Inc.; Panasonic; PASO Sound Products, Inc.; PDR Mounts; Peavey Electronics Corporation; Peerless Industries, Inc. (AV/Mounts); Pelco; Polar Focus; Polycom; Polyvision; Premier Mounts; ProCo Sound, Inc.; QSC Audio Products, LLC; Quam-Nichols Co.; Qwizdom; RapcoHorizon Company; Rauland-Borg Corp.; Raxxess; RCI Custom; RDL-Radio Design Labs; RECORDEX; Revolabs; ROLLS CORP; Sanyo; Sapling, Inc.; Secure Cabinets; Sennheiser; Sharp Electronics Corporation; Shure; Sony; Soundcraft by Harman; Stewart Audio; Superscope; Symetrix; Tandberg, Inc.; Tannoy; Tascam; TEAC America, Inc.; Telex; TOA Electronics, Inc.; Toner Cable; Track Technology; Vaddio; VBrick; VFIVideo Furniture International, Inc.; Video Insight; Visionary Solutions; Vivitek; West Penn Wire; Whirlwind; Williams Sound; Zenitel (Communications)",11/16/15,48753,,,,,,
"SBM Electronics, Inc.",Allegheny,Yes,Yes,Yes,Yes,Yes,Yes,For The Record (FTR); Verint,6/29/15,48753,,,,,,
Schaedler Yesco Distribution Inc,,No,Yes,No,No,No,No,"APC by Schneider Electric (formerly American Power Conversion Corp.); BlueWave Security; General Cable; Hubbell; Ideal Industries; Luxon Video; Middle Atlantic Products; Specified Technologies, Inc. (STI); Transition Networks",9/1/15,48753,,,,,,
